CMST_CASE_JUVENILE_REF,maincrime,crime,age,result,assist,Risk,Need,reci
525732,21,89,17,36,0,0.36,0.37,1
525733,7,119,17,31,2,0.33,0.3,0
525734,0,88,17,30,2,0.31,0.31,1
525734,0,88,17,30,2,0.31,0.31,1
525735,7,119,14,31,2,0.29,0.27,1
525737,7,119,17,31,2,0.28,0.28,0
525738,0,88,17,30,2,0.26,0.25,1
525739,7,119,14,31,2,0.2,0.2,1
525740,7,119,15,31,2,0.1,0.09,1
525741,0,88,14,30,2,0.29,0.26,1
525742,0,88,16,30,2,0.21,0.2,1
525744,2,64,16,35,1,0.19,0.17,1
525745,2,64,16,35,2,0.19,0.17,1
525748,2,64,16,35,1,0.15,0.14,1
525750,21,89,16,36,2,0.28,0.28,0
525751,7,119,17,31,1,0.16,0.15,1
525752,0,88,16,30,2,0.31,0.3,1
525753,0,88,16,30,2,0.28,0.27,1
525755,28,4,16,35,1,0.21,0.2,1
525756,0,88,15,30,1,0.13,0.1,1
525757,0,88,17,30,1,0.34,0.32,1
525759,7,119,15,31,1,0.35,0.33,1
525761,21,89,17,36,2,0.34,0.37,0
525762,21,89,16,36,2,0.25,0.25,1
525763,10,104,16,32,2,0.31,0.29,1
525765,14,23,16,17,2,0.3,0.29,1
525767,0,88,17,30,2,0.19,0.17,1
525768,34,117,15,2,2,0.24,0.23,1
525769,0,77,17,29,2,0.14,0.12,1
525770,7,119,15,31,0,0.24,0.24,1
525771,5,176,15,48,1,0.35,0.32,1
525772,21,22,16,43,2,0.33,0.33,1
525773,7,119,16,31,1,0.3,0.29,1
525774,0,88,16,30,2,0.29,0.27,1
525775,7,119,17,31,2,0.19,0.18,1
525776,0,88,17,30,2,0.37,0.37,0
525778,11,146,14,5,2,0.34,0.32,1
525779,0,88,16,30,0,0.32,0.32,1
525781,10,104,15,32,2,0.29,0.25,1
525782,11,146,13,5,2,0.37,0.35,1
525783,11,145,15,33,1,0.31,0.31,1
525784,11,145,15,33,0,0.34,0.34,0
525785,0,88,16,30,0,0.37,0.36,0
525786,10,104,15,32,1,0.24,0.2,1
525787,0,88,15,30,2,0.39,0.39,1
525788,11,146,13,5,2,0.25,0.23,1
525789,0,69,17,29,0,0.31,0.31,0
525790,0,77,15,29,2,0.37,0.37,1
525791,11,145,17,33,0,0.4,0.45,1
525793,11,146,15,5,2,0.33,0.31,0
525795,14,55,15,29,2,0.34,0.32,0
525796,0,88,17,30,1,0.37,0.37,0
525797,14,54,15,30,2,0.33,0.32,0
525799,7,119,15,31,2,0.26,0.26,1
525800,11,145,17,33,0,0.44,0.47,1
525802,14,112,15,37,2,0.18,0.15,1
525803,0,88,16,30,1,0.32,0.31,1
525804,7,166,16,27,0,0.19,0.18,1
525805,7,119,16,31,0,0.26,0.25,1
525807,7,119,15,31,2,0.31,0.3,1
525808,7,166,17,27,2,0.23,0.23,0
525809,34,117,17,2,1,0.16,0.14,1
525810,7,119,16,31,1,0.32,0.33,1
525811,11,145,16,33,0,0.45,0.49,1
525812,7,119,14,31,1,0.31,0.32,1
525813,11,145,17,33,0,0.36,0.38,0
525814,18,2,17,33,2,0.17,0.17,1
525815,18,2,17,33,2,0.19,0.19,1
525817,7,119,17,31,1,0.36,0.38,1
525818,34,117,15,2,2,0.26,0.24,1
525819,7,166,14,27,1,0.28,0.27,1
525822,0,88,17,30,1,0.26,0.25,1
525822,0,88,17,30,1,0.26,0.25,1
525823,28,4,17,35,1,0.33,0.33,1
525829,7,166,17,27,2,0.31,0.31,1
525830,0,88,16,30,1,0.25,0.23,1
525831,0,81,17,35,2,0.36,0.35,1
525832,7,166,16,27,2,0.24,0.24,1
525833,7,119,15,31,1,0.17,0.14,0
525834,0,88,14,30,2,0.31,0.3,1
525835,10,16,17,33,2,0.22,0.21,1
525836,0,88,17,30,2,0.21,0.19,1
525837,5,59,16,33,2,0.2,0.2,1
525838,7,166,17,27,1,0.26,0.26,1
525839,0,77,17,29,1,0.28,0.27,1
525840,7,119,17,31,1,0.21,0.19,1
525841,7,119,17,31,1,0.23,0.23,1
525842,7,119,16,31,1,0.25,0.25,1
525843,7,119,16,31,0,0.21,0.2,0
525844,0,88,17,30,0,0.39,0.38,1
525845,2,64,15,35,2,0.31,0.31,1
525847,34,103,17,29,1,0.2,0.19,1
525848,0,88,16,30,1,0.41,0.4,1
525849,7,119,16,31,1,0.36,0.37,1
525850,0,71,17,11,1,0.27,0.24,1
525851,11,145,15,33,2,0.34,0.36,1
525855,7,119,16,31,1,0.37,0.38,0
525856,7,166,16,27,2,0.25,0.25,1
525858,10,16,17,33,0,0.28,0.27,1
525859,7,166,17,27,2,0.27,0.28,1
525861,2,175,16,27,2,0.28,0.29,1
525864,0,77,17,29,2,0.24,0.22,1
525865,11,58,16,33,2,0.17,0.14,1
525865,11,58,16,33,1,0.17,0.14,1
525866,14,56,17,29,2,0.33,0.31,1
525867,11,146,16,5,2,0.28,0.26,0
525868,11,146,16,5,2,0.3,0.28,0
525869,11,146,16,5,2,0.3,0.27,0
525870,11,146,16,5,2,0.29,0.26,0
525872,18,2,16,33,2,0.16,0.15,1
525873,7,119,13,31,1,0.21,0.21,1
525875,7,119,17,31,2,0.25,0.23,0
525876,18,2,16,33,2,0.25,0.25,1
525877,7,167,16,27,2,0.25,0.23,1
525878,0,88,16,30,2,0.31,0.29,1
525879,18,2,15,33,2,0.23,0.23,1
525880,10,48,16,31,2,0.36,0.35,1
525882,0,88,16,30,2,0.2,0.18,1
525884,0,88,16,30,2,0.27,0.26,1
525888,11,145,16,33,1,0.36,0.35,1
525889,0,88,16,30,0,0.36,0.3,0
525891,0,88,16,30,1,0.25,0.23,1
525893,7,166,15,27,2,0.31,0.32,1
525894,0,88,14,30,0,0.29,0.3,1
525896,0,88,16,30,2,0.34,0.32,1
525897,11,37,17,20,1,0.42,0.41,0
525898,0,78,16,4,1,0.24,0.23,0
525899,7,166,16,27,0,0.36,0.38,1
525902,0,88,17,30,2,0.31,0.28,1
525903,7,166,15,27,2,0.24,0.23,1
525904,7,166,17,27,2,0.31,0.31,1
525905,0,72,17,11,0,0.3,0.28,1
525908,0,81,17,35,2,0.26,0.25,0
525909,0,88,16,30,1,0.31,0.3,0
525910,7,166,16,27,2,0.22,0.23,1
525911,10,50,17,23,1,0.35,0.31,0
525912,7,166,16,27,2,0.27,0.27,1
525913,0,88,17,30,2,0.23,0.22,0
525914,7,119,16,31,2,0.11,0.1,1
525915,34,117,15,2,2,0.3,0.3,1
525916,0,88,17,30,1,0.31,0.31,1
525917,18,2,16,33,2,0.17,0.16,1
525918,18,2,16,33,1,0.22,0.2,0
525919,7,119,17,31,2,0.28,0.28,0
525920,0,88,16,30,0,0.31,0.31,1
525922,11,146,15,5,1,0.36,0.35,1
525926,34,117,17,2,2,0.24,0.22,1
525928,7,166,16,27,2,0.25,0.24,1
525929,7,119,17,31,2,0.27,0.25,1
525933,0,77,17,29,2,0.33,0.32,1
525936,7,119,16,31,0,0.25,0.24,1
525937,7,166,17,27,2,0.3,0.32,0
525938,10,49,14,15,1,0.25,0.2,1
525942,10,104,17,32,2,0.23,0.16,0
525944,11,145,17,33,1,0.29,0.3,1
525947,7,119,16,31,1,0.24,0.21,0
525948,11,31,16,35,1,0.3,0.28,1
525949,7,119,17,31,0,0.25,0.24,1
525950,7,119,17,31,1,0.36,0.39,1
525951,0,88,16,30,1,0.32,0.3,1
525952,18,2,15,33,2,0.14,0.14,1
525953,11,146,14,5,1,0.31,0.29,1
525954,18,2,14,33,1,0.31,0.31,1
525955,7,119,16,31,1,0.22,0.22,1
525956,18,2,14,33,1,0.21,0.22,1
525958,0,88,15,30,0,0.37,0.38,1
525963,7,119,16,31,1,0.22,0.22,1
525964,10,15,17,29,2,0.14,0.12,1
525965,11,146,17,5,0,0.34,0.33,1
525966,0,81,15,35,1,0.28,0.3,1
525968,0,71,15,11,2,0.27,0.26,1
525969,11,146,15,5,0,0.27,0.25,1
525970,7,166,17,27,1,0.24,0.23,1
525978,10,29,17,40,2,0.29,0.27,1
525979,7,119,17,31,1,0.26,0.25,0
525980,18,2,15,33,2,0.3,0.31,1
525986,15,42,15,31,1,0.21,0.22,1
525987,7,166,16,27,2,0.1,0.1,1
525990,11,145,15,33,2,0.34,0.35,1
525992,7,166,17,27,2,0.15,0.14,1
525995,11,146,16,5,1,0.25,0.23,1
525996,15,42,15,31,2,0.18,0.17,1
525997,11,152,17,25,1,0.28,0.25,1
525998,7,119,17,31,1,0.31,0.3,0
525999,7,119,15,31,2,0.24,0.23,1
526000,11,147,14,3,2,0.34,0.32,1
526001,0,88,15,30,1,0.25,0.23,1
526002,10,50,13,23,2,0.36,0.32,1
526003,10,50,17,23,2,0.3,0.23,1
526004,0,88,16,30,1,0.26,0.24,1
526005,10,51,16,33,2,0.26,0.25,0
526010,10,50,15,23,2,0.22,0.18,1
526014,7,119,15,31,2,0.29,0.28,1
526015,7,166,15,27,0,0.29,0.27,1
526018,0,88,17,30,1,0.3,0.27,0
526020,7,119,17,31,1,0.3,0.3,1
526021,34,117,17,2,1,0.26,0.24,1
526023,0,88,16,30,1,0.18,0.16,1
526024,0,88,17,30,0,0.42,0.42,0
526025,7,166,16,27,1,0.37,0.36,1
526026,7,119,16,31,2,0.26,0.24,1
526027,0,88,17,30,0,0.33,0.32,0
526028,7,166,17,27,1,0.12,0.12,1
526029,0,88,17,30,2,0.31,0.29,0
526034,0,88,17,30,1,0.23,0.22,0
526040,0,81,16,35,2,0.23,0.21,1
526041,0,88,16,30,2,0.26,0.24,0
526042,11,146,13,5,2,0.45,0.44,1
526043,7,119,16,31,2,0.28,0.28,1
526044,0,88,17,30,2,0.26,0.24,1
526045,11,145,14,33,2,0.24,0.21,1
526046,2,64,17,35,1,0.22,0.22,1
526047,11,146,15,5,2,0.41,0.4,1
526048,2,64,14,35,2,0.24,0.22,1
526050,7,167,14,27,2,0.3,0.27,0
526051,0,88,17,30,0,0.24,0.22,1
526053,0,78,17,4,1,0.31,0.29,1
526054,11,146,16,5,2,0.36,0.36,1
526055,7,166,17,27,2,0.14,0.13,1
526056,0,88,17,30,2,0.37,0.38,1
526057,14,13,15,17,2,0.24,0.23,1
526058,0,88,16,30,0,0.25,0.23,0
526060,0,88,17,30,2,0.26,0.25,1
526061,18,2,16,33,1,0.3,0.32,0
526063,18,2,17,33,0,0.19,0.19,1
526064,0,11,16,4,2,0.34,0.32,0
526065,34,103,17,29,2,0.23,0.23,1
526066,7,166,15,27,2,0.3,0.29,1
526068,14,13,17,17,0,0.49,0.48,1
526069,3,107,16,37,1,0.48,0.49,1
526071,34,117,17,2,1,0.25,0.23,1
526072,7,166,17,27,2,0.23,0.23,1
526076,14,23,17,17,2,0.16,0.14,1
526085,0,88,16,30,1,0.27,0.26,1
526088,34,103,17,29,2,0.26,0.25,1
526090,0,88,17,30,2,0.26,0.24,1
526099,19,164,17,31,1,0.16,0.14,1
526100,7,166,17,27,1,0.35,0.35,0
526103,0,88,17,30,1,0.36,0.36,1
526104,0,88,15,30,2,0.28,0.26,1
526105,0,88,17,30,1,0.24,0.23,1
526107,0,88,16,30,2,0.27,0.25,1
526108,18,2,16,33,0,0.22,0.23,1
526109,19,44,17,35,2,0.35,0.34,0
526110,7,166,15,27,1,0.27,0.26,0
526111,2,64,16,35,1,0.26,0.26,1
526113,21,1,17,27,2,0.23,0.24,1
526115,7,166,17,27,2,0.19,0.19,1
526116,7,166,17,27,2,0.27,0.26,1
526119,0,88,16,30,1,0.31,0.29,1
526120,7,166,17,27,1,0.24,0.25,1
526121,7,166,17,27,1,0.33,0.34,1
526122,0,88,14,30,2,0.26,0.24,1
526125,11,146,14,5,2,0.11,0.08,1
526126,11,146,13,5,2,0.19,0.16,1
526128,0,88,17,30,1,0.31,0.3,0
526129,7,119,15,31,2,0.14,0.12,1
526132,7,166,16,27,2,0.18,0.14,1
526135,11,146,17,5,2,0.33,0.32,0
526137,7,119,16,31,2,0.35,0.35,1
526138,7,166,16,27,1,0.34,0.34,1
526141,0,88,17,30,2,0.36,0.37,1
526146,11,145,14,33,2,0.33,0.31,1
526147,0,87,17,4,1,0.34,0.33,0
526148,0,88,15,30,1,0.25,0.23,1
526149,0,88,17,30,2,0.29,0.27,1
526150,7,119,14,31,1,0.31,0.32,0
526152,11,146,16,5,2,0.39,0.35,1
526153,0,77,15,29,2,0.36,0.34,1
526154,11,146,14,5,2,0.34,0.32,1
526155,0,88,16,30,1,0.25,0.23,1
526156,11,146,16,5,2,0.22,0.2,1
526157,7,119,17,31,2,0.2,0.2,1
526158,7,119,16,31,1,0.19,0.18,1
526159,7,119,16,31,2,0.16,0.17,1
526160,7,166,17,27,0,0.21,0.22,0
526161,0,88,17,30,1,0.22,0.2,1
526162,0,88,17,30,1,0.28,0.26,1
526163,7,119,15,31,1,0.15,0.15,1
526164,7,166,17,27,2,0.34,0.33,1
526167,21,1,17,27,2,0.1,0.09,1
526169,7,166,17,27,1,0.32,0.33,1
526171,0,82,16,4,1,0.31,0.29,1
526172,11,41,17,32,2,0.36,0.37,0
526173,11,37,17,20,2,0.31,0.29,1
526174,7,119,17,31,2,0.31,0.31,1
526175,7,166,17,27,1,0.21,0.22,1
526176,7,166,17,27,2,0.25,0.26,1
526178,3,107,16,37,1,0.32,0.31,1
526179,0,88,17,30,2,0.34,0.35,1
526181,7,166,17,27,1,0.31,0.32,0
526182,7,119,15,31,0,0.22,0.22,1
526183,21,89,16,36,0,0.44,0.44,0
526184,7,166,17,27,1,0.26,0.28,1
526185,0,88,16,30,0,0.32,0.32,1
526186,0,88,15,30,1,0.31,0.3,1
526187,7,166,17,27,0,0.18,0.19,1
526188,0,88,12,30,2,0.32,0.3,1
526193,7,119,17,31,0,0.25,0.23,1
526194,0,88,15,30,1,0.27,0.25,1
526200,0,88,17,30,1,0.31,0.3,1
526202,0,88,15,30,2,0.29,0.26,0
526204,7,166,15,27,2,0.11,0.1,1
526205,0,88,15,30,1,0.25,0.23,1
526206,11,146,16,5,0,0.36,0.34,1
526207,11,146,16,5,0,0.29,0.27,1
526208,7,166,16,27,0,0.34,0.34,0
526209,14,13,17,17,2,0.33,0.32,1
526210,7,119,17,31,1,0.26,0.28,0
526215,7,119,17,31,1,0.24,0.24,1
526216,0,88,17,30,1,0.27,0.26,0
526217,11,144,15,14,1,0.4,0.41,1
526218,0,88,16,30,2,0.24,0.22,1
526220,10,104,17,32,2,0.25,0.26,0
526221,11,146,15,5,0,0.4,0.41,0
526222,34,103,17,29,1,0.16,0.15,1
526223,10,104,15,32,1,0.3,0.28,0
526225,10,15,17,29,2,0.25,0.23,1
526227,0,88,17,30,1,0.16,0.16,0
526228,0,88,17,30,0,0.36,0.36,0
526230,7,119,16,31,1,0.26,0.24,1
526232,7,119,16,31,1,0.35,0.37,1
526233,0,83,17,4,0,0.42,0.41,1
526235,34,103,16,29,2,0.13,0.1,1
526236,10,48,15,31,1,0.15,0.14,1
526243,11,145,14,33,2,0.25,0.23,0
526246,7,119,17,31,0,0.31,0.31,1
526247,14,13,16,17,2,0.39,0.38,1
526248,14,112,15,37,2,0.37,0.38,1
526256,0,88,17,30,2,0.3,0.27,0
526257,11,34,17,33,2,0.37,0.39,1
526258,0,87,17,4,0,0.24,0.23,1
526259,21,89,16,36,0,0.19,0.19,1
526260,11,35,18,31,1,0.25,0.24,1
526261,7,166,17,27,2,0.25,0.25,1
526263,11,146,16,5,2,0.23,0.23,1
526265,7,119,16,31,1,0.19,0.18,1
526267,0,88,15,30,2,0.25,0.25,0
526270,34,117,16,2,1,0.29,0.28,1
526271,10,48,17,31,1,0.21,0.2,1
526272,7,119,17,31,1,0.2,0.2,1
526273,0,88,17,30,2,0.31,0.3,1
526275,7,119,17,31,0,0.31,0.29,1
526277,21,89,17,36,1,0.28,0.3,0
526278,0,88,15,30,2,0.29,0.28,0
526279,34,103,15,29,2,0.29,0.28,1
526280,10,48,17,31,2,0.27,0.26,1
526281,7,119,16,31,1,0.32,0.32,1
526282,0,88,16,30,2,0.27,0.24,0
526283,34,117,16,2,1,0.24,0.23,1
526284,0,88,17,30,2,0.26,0.26,1
526285,0,88,15,30,2,0.33,0.33,1
526288,34,117,16,2,2,0.25,0.23,0
526289,34,117,14,2,1,0.3,0.27,1
526290,10,29,15,40,0,0.36,0.32,1
526291,0,81,16,35,2,0.2,0.2,1
526292,10,30,17,39,1,0.28,0.24,1
526293,0,88,17,30,1,0.32,0.32,1
526294,7,166,17,27,2,0.26,0.28,1
526295,7,166,16,27,1,0.24,0.24,1
526296,10,104,14,32,1,0.25,0.24,0
526297,10,104,15,32,1,0.31,0.28,1
526298,7,166,17,27,2,0.08,0.06,1
526300,7,119,15,31,2,0.17,0.16,1
526302,9,91,15,33,2,0.36,0.37,1
526303,11,146,17,5,1,0.47,0.47,1
526307,7,166,15,27,1,0.37,0.38,1
526309,11,67,16,6,2,0.29,0.25,0
526310,11,67,17,6,2,0.19,0.18,0
526311,0,88,17,30,1,0.32,0.33,0
526312,11,146,15,5,2,0.42,0.4,0
526313,34,117,16,2,2,0.25,0.22,0
526314,7,166,17,27,2,0.14,0.14,1
526315,0,88,16,30,1,0.32,0.32,1
526318,10,50,16,23,2,0.19,0.11,1
526325,10,50,16,23,2,0.18,0.09,1
526326,34,103,16,29,1,0.29,0.29,1
526327,7,166,16,27,1,0.36,0.37,0
526328,0,88,16,30,2,0.3,0.28,1
526331,2,64,16,35,2,0.27,0.24,1
526332,11,146,16,5,1,0.38,0.37,0
526334,10,104,15,32,2,0.3,0.26,1
526337,28,106,15,29,2,0.15,0.14,1
526343,0,88,16,30,1,0.36,0.35,1
526345,0,88,16,30,1,0.27,0.23,0
526346,7,166,16,27,2,0.2,0.2,0
526347,0,88,14,30,1,0.28,0.25,1
526348,0,88,17,30,1,0.35,0.33,1
526349,7,166,17,27,2,0.16,0.14,1
526350,23,99,17,32,0,0.35,0.33,1
526351,14,12,15,26,2,0.27,0.25,1
526353,10,104,16,32,1,0.26,0.25,0
526354,0,11,16,4,2,0.42,0.43,1
526355,0,88,17,30,1,0.33,0.32,0
526357,0,88,15,30,0,0.39,0.39,1
526358,0,88,16,30,0,0.39,0.36,0
526360,0,88,17,30,1,0.19,0.18,1
526361,10,30,17,39,2,0.4,0.38,1
526362,10,29,17,40,2,0.42,0.4,1
526363,7,119,15,31,0,0.27,0.28,1
526365,14,55,16,29,2,0.2,0.18,1
526366,7,119,16,31,2,0.17,0.14,1
526368,0,88,17,30,2,0.3,0.28,1
526371,7,166,15,27,1,0.3,0.29,1
526372,18,2,16,33,2,0.27,0.28,0
526373,18,2,17,33,1,0.32,0.31,0
526375,11,146,16,5,2,0.21,0.2,1
526376,0,88,17,30,1,0.34,0.34,1
526377,7,166,16,27,2,0.3,0.31,0
526381,10,15,16,29,2,0.25,0.23,0
526382,7,119,15,31,0,0.31,0.32,1
526383,14,13,17,17,2,0.2,0.15,0
526384,7,119,17,31,2,0.33,0.32,1
526385,34,117,17,2,0,0.28,0.26,0
526386,14,14,16,0,0,0.31,0.31,1
526387,0,88,17,30,2,0.27,0.27,1
526388,34,103,17,29,1,0.29,0.27,1
526390,11,145,17,33,1,0.3,0.31,0
526395,7,119,17,31,1,0.22,0.23,0
526401,18,2,17,33,0,0.31,0.32,1
526402,7,166,17,27,1,0.47,0.5,0
526403,7,119,17,31,2,0.2,0.19,1
526404,18,2,17,33,2,0.36,0.38,0
526406,7,119,17,31,2,0.2,0.2,1
526407,18,2,16,33,0,0.26,0.26,1
526408,0,88,16,30,2,0.34,0.33,0
526409,18,2,17,33,0,0.36,0.37,1
526410,0,78,15,4,2,0.34,0.34,1
526411,0,77,14,29,1,0.3,0.28,1
526412,14,112,15,37,2,0.27,0.25,1
526413,11,34,14,33,2,0.36,0.36,1
526414,7,119,17,31,0,0.26,0.24,1
526416,0,88,17,30,1,0.23,0.23,1
526417,7,166,17,27,0,0.35,0.35,0
526418,0,88,17,30,2,0.26,0.25,1
526419,7,119,17,31,2,0.22,0.23,1
526420,0,88,17,30,1,0.23,0.21,1
526421,0,88,17,30,1,0.36,0.35,1
526422,7,166,17,27,1,0.16,0.16,1
526423,0,88,17,30,2,0.21,0.2,1
526424,11,145,16,33,2,0.24,0.23,1
526426,7,119,17,31,2,0.22,0.19,1
526427,0,88,14,30,2,0.16,0.13,1
526431,0,88,17,30,2,0.24,0.22,1
526432,0,88,15,30,0,0.31,0.33,1
526433,7,119,15,31,2,0.11,0.09,1
526435,21,89,16,36,1,0.27,0.27,1
526436,0,88,15,30,2,0.24,0.22,1
526438,18,2,16,33,2,0.22,0.22,1
526439,0,88,16,30,0,0.26,0.26,1
526440,7,119,15,31,1,0.25,0.23,1
526441,7,119,17,31,1,0.22,0.23,1
526442,7,119,16,31,1,0.21,0.2,1
526444,0,88,16,30,0,0.32,0.31,1
526445,7,119,16,31,1,0.19,0.19,1
526447,34,103,16,29,1,0.28,0.26,1
526448,34,117,14,2,0,0.28,0.26,1
526450,0,88,17,30,1,0.25,0.23,1
526451,0,88,17,30,2,0.31,0.26,0
526456,7,166,15,27,2,0.24,0.23,1
526457,7,119,17,31,0,0.31,0.3,1
526458,7,166,17,27,0,0.31,0.32,1
526459,11,146,17,5,1,0.29,0.28,1
526460,10,104,16,32,1,0.41,0.36,1
526461,0,88,16,30,2,0.36,0.35,1
526463,0,88,16,30,2,0.23,0.21,1
526464,0,88,16,30,1,0.42,0.41,1
526465,21,1,17,27,1,0.25,0.24,1
526467,7,119,14,31,1,0.21,0.2,1
526469,10,30,15,39,2,0.32,0.28,1
526470,7,166,15,27,1,0.16,0.16,1
526473,0,88,15,30,1,0.36,0.35,1
526474,7,166,15,27,1,0.19,0.18,1
526475,0,77,14,29,0,0.37,0.35,1
526478,0,88,16,30,1,0.25,0.23,1
526479,7,166,17,27,2,0.17,0.16,1
526480,11,37,16,20,2,0.34,0.32,1
526483,0,88,16,30,1,0.46,0.49,1
526484,0,88,17,30,1,0.3,0.28,0
526485,11,145,17,33,2,0.37,0.36,0
526486,21,89,16,36,1,0.14,0.14,0
526489,7,119,17,31,2,0.27,0.27,0
526490,7,119,17,31,1,0.23,0.28,1
526491,0,71,17,11,2,0.3,0.28,0
526492,0,88,16,30,1,0.27,0.25,1
526493,34,117,17,2,1,0.36,0.36,1
526496,0,81,15,35,2,0.21,0.2,1
526497,7,166,12,27,1,0.31,0.31,1
526499,10,48,16,31,2,0.33,0.33,0
526500,18,2,17,33,2,0.19,0.2,1
526502,7,166,16,27,1,0.26,0.26,1
526503,10,50,14,23,1,0.31,0.28,0
526506,11,146,16,5,2,0.26,0.23,1
526513,7,166,15,27,2,0.07,0.05,1
526515,10,48,16,31,2,0.36,0.35,1
526516,10,48,16,31,2,0.3,0.27,1
526517,10,48,16,31,2,0.19,0.16,1
526518,10,48,16,31,2,0.19,0.15,1
526520,7,166,17,27,2,0.33,0.3,0
526522,18,2,15,33,2,0.36,0.38,1
526523,7,166,16,27,1,0.33,0.33,1
526524,7,119,15,31,1,0.25,0.23,1
526525,7,166,17,27,2,0.24,0.24,0
526526,0,77,17,29,2,0.31,0.3,1
526527,7,119,16,31,2,0.25,0.25,1
526528,0,88,16,30,2,0.25,0.24,1
526529,7,119,15,31,1,0.31,0.29,1
526531,10,104,17,32,1,0.28,0.23,1
526533,10,104,17,32,0,0.42,0.4,0
526535,7,166,16,27,0,0.33,0.33,1
526536,7,119,16,31,1,0.24,0.22,1
526537,34,103,17,29,1,0.31,0.32,1
526538,7,119,15,31,1,0.16,0.15,1
526541,0,88,17,30,1,0.25,0.23,1
526542,0,88,17,30,1,0.34,0.33,1
526544,7,119,16,31,1,0.37,0.37,1
526545,7,119,12,31,2,0.25,0.25,1
526546,11,146,13,5,2,0.31,0.29,1
526547,0,88,17,30,1,0.41,0.37,0
526550,10,49,17,15,2,0.35,0.33,1
526551,7,119,17,31,2,0.31,0.29,1
526553,0,88,17,30,1,0.27,0.25,1
526555,11,146,16,5,2,0.23,0.21,1
526556,36,17,16,28,2,0.16,0.17,1
526557,0,88,17,30,1,0.23,0.22,1
526560,7,119,17,31,2,0.27,0.26,1
526561,34,103,16,29,2,0.28,0.26,1
526562,11,146,15,5,1,0.32,0.31,0
526563,7,119,16,31,1,0.32,0.32,0
526564,7,166,15,27,1,0.28,0.28,1
526565,7,166,17,27,1,0.17,0.14,0
526567,19,44,17,35,2,0.25,0.23,1
526570,0,88,15,30,2,0.31,0.3,1
526571,7,119,15,31,0,0.31,0.29,1
526572,11,146,13,5,1,0.39,0.38,1
526573,27,3,16,34,2,0.25,0.25,1
526574,11,146,17,5,2,0.35,0.34,0
526576,7,119,16,31,0,0.34,0.32,0
526577,0,88,17,30,2,0.41,0.41,1
526579,0,81,16,35,1,0.28,0.28,1
526580,11,145,17,33,2,0.25,0.24,0
526581,7,166,16,27,2,0.06,0.05,1
526582,11,146,15,5,1,0.33,0.32,1
526583,7,166,17,27,2,0.35,0.35,0
526584,7,119,17,31,1,0.31,0.31,1
526585,18,2,16,33,1,0.09,0.08,1
526586,11,146,14,5,1,0.3,0.27,1
526587,7,119,17,31,2,0.21,0.21,1
526589,0,88,16,30,2,0.25,0.23,1
526590,0,88,16,30,2,0.2,0.18,1
526591,7,166,17,27,1,0.28,0.27,0
526593,14,13,14,17,2,0.3,0.3,1
526594,7,119,17,31,1,0.22,0.22,1
526595,0,88,16,30,2,0.24,0.23,1
526596,0,81,17,35,0,0.3,0.29,1
526598,7,166,15,27,2,0.16,0.16,1
526599,0,88,14,30,1,0.25,0.22,1
526600,18,2,17,33,2,0.24,0.23,1
526601,7,166,17,27,1,0.29,0.3,0
526602,11,146,17,5,2,0.39,0.39,1
526603,0,88,17,30,0,0.42,0.43,0
526604,0,69,17,29,1,0.31,0.3,1
526605,7,119,15,31,0,0.23,0.24,1
526606,0,88,17,30,2,0.31,0.31,1
526607,0,88,16,30,1,0.21,0.2,1
526608,7,166,16,27,1,0.36,0.36,1
526609,11,139,16,35,2,0.24,0.23,1
526610,11,145,15,33,1,0.4,0.4,0
526611,10,48,16,31,1,0.38,0.4,1
526612,7,119,15,31,2,0.19,0.18,1
526614,7,119,17,31,1,0.25,0.24,0
526615,11,146,15,5,1,0.42,0.39,0
526616,7,119,17,31,2,0.27,0.28,0
526617,7,119,17,31,0,0.3,0.31,0
526619,0,88,17,30,1,0.31,0.31,1
526621,0,88,16,30,1,0.4,0.38,0
526622,11,146,17,5,2,0.27,0.26,0
526624,0,81,16,35,0,0.32,0.32,0
526625,10,50,17,23,2,0.26,0.23,1
526626,10,50,16,23,2,0.27,0.21,1
526628,14,163,14,15,2,0.27,0.28,1
526629,7,166,15,27,1,0.28,0.29,1
526630,7,166,17,27,1,0.31,0.32,1
526631,11,146,15,5,0,0.31,0.28,1
526632,7,166,17,27,1,0.3,0.31,1
526634,7,166,17,27,0,0.31,0.31,0
526635,21,1,17,27,2,0.19,0.19,1
526636,7,166,17,27,1,0.31,0.31,0
526637,11,35,17,31,2,0.27,0.28,1
526639,7,119,16,31,2,0.19,0.19,1
526640,7,166,17,27,2,0.36,0.32,0
526643,7,119,17,31,2,0.23,0.23,1
526647,0,88,16,30,1,0.32,0.32,0
526648,7,119,17,31,1,0.38,0.4,0
526650,7,119,17,31,1,0.16,0.16,1
526651,7,119,17,31,2,0.32,0.31,1
526652,0,88,13,30,2,0.33,0.31,0
526653,18,2,17,33,2,0.24,0.24,1
526654,7,119,17,31,1,0.32,0.32,1
526655,0,81,16,35,2,0.14,0.13,1
526656,0,88,17,30,2,0.34,0.32,0
526657,3,108,15,37,2,0.19,0.17,1
526659,0,88,17,30,0,0.27,0.26,1
526660,11,146,13,5,2,0.42,0.41,1
526662,18,2,15,33,2,0.18,0.16,1
526663,11,35,17,31,2,0.28,0.28,0
